type,canonical_smiles,ecfp,label
CDK9,COc1ccc(F)cc1c2cc(NC(=O)Cc3cccnc3)ncn2,0001000000000000000100000000000000110000000000000000000000000000000000000000000010000000000000000000000000001000000100000000000010000100000000000000010010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000010100000100000000000000000000000000000000000001000000000000000000000000000000100000100000010000010000000100000100001000000010000000000010000000000000000000000000000000000000100001000000000000001000100000000000000000011000000000000000000001000000110000010100000000000100000000000011000000000000000000000000000101000010010000000000000001000000000000000001000000000000100000000000000100010000000001000000000000000000000100000000000000000010001100000000000000101000000000101000001000000000000100000000000000000001000000010000000000000000000010001000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000100000010000000100000000000000000000000000000000000000000000000000000000,1
CDK9,COc1ccc(F)cc1c2cc(NC(=O)C3CCCNC3)ncn2,0001000000000010000100000000000000100000000000000000000000000000000000000000001000000000100000000000100000000000000000000000010010000100000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000100010000000000000000000010000000000000000000100000000000000000000000000000000000001000000000000000000000000000000100000100000010001000000000100000100000000000000000000000010000000000000000000010000000000000000100001000000000000001000100000000000000000010000000000000000000001100000110000000100000000000100001000000011000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000000100000000000000000000000100000000000000000010001100000000000000001000000000101000000000000000000100000000000001000101000000000000000000000000000000001000000000000000000000010000000011000000000000000000000100000000000001000000000000100000000000000000010000000000000000000000001000000000010000100000010000000100000000001000000000000000000001000000001000000000000000,1
CDK9,COc1ccccc1c2cc(NC(=O)C3CCC(=O)NC3)ncn2,0001010000000010000100000000000000000000000000000000000000000000000000000000000000000000100000010000100010000000000000000000000000000100000000000000000000000000000000000010000000001000001000000000000010000000010000000000000001000000000100000000100000000000010000000000000100000100000000000000001000000000000000000000000000000000000000000000010000100000000000000001000000000100000100000000000000000000000010010000000000000000000000000001000000100001000000000000000000000000000000000000011000000000000000000001000000110000000000000000000000001000000011000100000000100000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000000100000000000000000000000100000000000000000010000000010000000000001001000000100000000000000000000000000000000001000101000000000000000000000000000000001000000000000000000000010000000011000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000010000110100010000000100010000000000000000000000000001000000000000000000000100,1
CDK9,COc1ccc(F)cc1c2cc(NC(=O)Cc3ccncc3)ncn2,0001000000000000001100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000010010000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000100000000000010000100000010000000100000000000000000000000000000000000001000000000000000000000000000000100000100000010000010000000100000100001000000000000000000010000000000000000000000000000000000000100001000000000000001000100000000000000000010000000000000000000001000000110000010100000000000100000000000011000000000000000000000000000001000010000000000000000001000000000000000001000000000000100000000000000000110000000001000000000000000000000100000000000000010010001100000000000000001000000000101000000000000000000100000000000000000001000000010000000000000000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000010000100000010000000100000000000000000000000000000100000000000001000000000000,1
CDK9,COc1cccc(F)c1c2cc(NC(=O)C3CCCNC3)ncn2,0001000000000010000100000000000000100000000000000000000000000000000000000000001000000000100000000000100000000000000000000000010000000101000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000100010000000000000000000010000100000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000100000000000000000000000010010000000000000000010000000010000000100001000000000000000000100000000000000000011000000000000000000001100000110000000100000000000000001000000011000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000001000100100010000000000000010001000000000000000001000000000100000000000000000100000000000000001000101001000000000000000000000000000000000000000000001000000010000000011000000000000000000000100000000000001000000000000100000000000000000000000000000000000000000001000000000010001100000010000001100000000001000000000000000000001000000001000000000000000,1
CDK9,COc1ccccc1c2cc(NC(=O)c3ccc(C)c(NS(=O)(=O)C)c3)ncn2,0001000000000000000100000000000100000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000100000000000100000000000000000000000010000000001001000100000000100000000000010000000001000000000000000100000000000000000000011001000000000100000100000000000000000000000000100000000000000000000000000000100000010000100000000000000000001000001100000100000000000000000000000010010000000000000000000000000001000100100001000000000010010000100000000000000000011000000000000000000001000000110000000000000000000000000000000011000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000010000010000000001000000000100000000000000010010000000010000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000101000000000000000000000000000000001000000000000000000010000000000000000000000000000000010000000000000010000000000000000000000000000000000010000110100010000000100000000000000000010000000000000000001000000000000000000,1
CDK9,COc1ccccc1c2cc(NC(=O)c3cccc(NS(=O)(=O)C)c3)ncn2,0001000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000100000000000000000000000010000000001000000000000000100000000000010000000000000000000000000101000000000000000000011001000000000100000100000000000000000000000000100000000000000010000000000000000000010000100000000000000000000000000101000110000000000000000000000010010000000000000000000000000001000100100001000000000000000000000000000000000000011000000000000000000001000001110000000000000100000010000000000011000000000000000000000000000001000000000000001000000000000000000000000000000000000000100000000000000000010000000000010100000000000000000100000000000000010010010000010000000000001000000000100000000000000000000000000000000000000001001000001000000000000000000000101000000000000000000000000000000001000000000000000000010000000000000000000000000000000011000000000000010000000000000000000000000000000000010000110100010000000100000000000000010000000000000000000000000000000000000000,1
CDK9,COc1ccccc1c2cc(NC(=O)c3ccc(NS(=O)(=O)C)cc3)ncn2,0101000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000101000000000100000000000000000000000010000000001000000000000000100000000100010000000000000000000000000110000000000000000000011001000000000100000100000000000000000010000000100000000000000000000000000000000000010000100000000000000000000000000100000100000000000000000000000010010000000000000000000000000001000100100001100000000000000000000000000000000000011000000000000000000001000000110000000000000100000000000000000011000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000000000010000000000000000000100000000000000010010000000010000000000001000000000100000000000000000000000000000000000000001000000001000000000000000000000101000000000000000000000000000000001000000000000000000000000000000000010000000000000000010000100000000010000000000000000000000000000000000010000110100010000000100000000000000000000000000000000000000000000000000000000,1
CDK9,Fc1cccc(CNc2nc(c(F)cc2F)c3ccnc4[nH]c(cc34)C5CCNCC5)c1,0010000000000110000000000001000000100000000000000100000000000000000000000000100001000000100000000000000000000000000000000000000000000100000000000000010110000001000000010000000001000000000100000000000000000000000001000000100000000001100000000000000000000000000000100000010000100000000000001000000000001000000100000000100000000000000000000000010000000000000101100001000000000000000000000001001000001000000011000000000000000000000000000000000000000000000000000001000000100000000000100000001000000000000000000100000010110000000000000010000100000000000001000000000000000000000000000001000010010000010100000001010100001000000000000000000000000001001000000000010000000100000000000000000000000000000000000000000000000101000000000000000000010000000000000000000000000000000000000001000000001000101000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000100000010000000000000100000000000000000100000000000000000000001010000000000000001000000000001100,1
CDK9,OCC(=O)N1CCC(=CC1)c2cc3c(ccnc3[nH]2)c4cncc(OCc5cccc(F)c5)n4,0000000000000010000110000000000000100010000000000000000000100000000001000000000000000000000000000000000000000000000000000010000000000100000000000000000110000100000000000000001001001001000000000000000000000000100001000000000000000000000000000000000001000000000000000000110001000000001000000000000000001000000000000000000010000100000000000100010000100000001001100000000000000000001001001000000010000000000011000000000000000000000000000001000000000000000000000000000000100000000000000000011000000000000000000101000010100000000100000010010100000010000001000000000000000000100000000001000010110000010000000000000000001000000000000100010000100000000001000000010000000100000100000000000000100100000100000000000000000100010101000000101000000000100000000000000000000000000000000000000000001000000000000000000100000001000000000000000000000000000100000000000000100000000100001000000000000100000000000100000001000000000000000000000000000000100000010000010000000010001000001001000100000000000100000000001000100000000000000001000000000110,1
CDK9,CNC(=O)N1CCC(=CC1)c2cc3c(ccnc3[nH]2)c4cncc(OCc5cccc(F)c5)n4,0000000000000010000110000000000000100010000000000000000000100000000001000000000000000000000000000000000000000000000000000010000000000100000000000000000110000100000000000000001001001001000000000000000000000000000001000000001000000000000000000000000001000000000000000000110001000000001000000000000000001000000000000000100010000000010000000100010000100000001001100000000000000000000000001000000010000010000011000000000000000000000000001001000000000000000000000000000000100000000000000000011000000000000000000101000011110000000100000010010100000000000001000000000000000000110000000001000010110000010000000000000000001000000000000000010000100000000001000000010000000100000100000000000000100100000100000000000000000100010000000000101000000000100000000000000000000000000000000000000000001000000000000000000100000001000000000000000000000000000100000000000000010000000100001000000000000100000000000100000000000000000000000000000000000000100000010000010000010010001000001001000100000000000100000000001000100100000000000001000000000110,1
