"target_name" "canonical_smiles" "ecfp" "measurement_value" "new_measurement_value" "measurement_type" "ligand_eff"
"Cyclin-dependent kinase 2" "CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35" "0000000000000010000000000100000000100001100000000000000000000001000000100000000000000000100100010000000000000000000000000100000100100100000000000000100000000000000001000000010000000000000001000000000100000000000000000000000001000000000000000000101100000100000000000000000100000000000000000000000000000000000000000000000000000010000000000000100000100000000000000000000000000010000000000000000000000000011000000000000000000000000000000000000010000000000000000000100000000000010000000000001000000000001000000001000000010100001100000000000000010010000011000001000000000000010000010000010000000000000000100001010000010000000000000000000000100000000000000000010000000100000110000000000010100000000000000001000000000000010000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100001000000001001000000000000000000000000000000000000000000000000000001000000000000000100000000000000000010000000000000010000010000010000000000000001000100100000000010000000000000000100000001010000000001000100" "0.100000000000000000000000000000" "0.100000000000000000000000000000" "IC50" "0.39"
"Cyclin-dependent kinase 2" "[O-][N+](=O)c1cccc(Nc2nccc(n2)c3cnn4ncccc34)c1" "0000000000010000000000000000010000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000001000100010000000000000000000100000000001000000000000000001000000000000000000000000000000000000000000000000000001100000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000010000000000000000000000010000000000010000000000000000010000000100100001110000000000100000000000000010000101000000100000000000001000000110100000100001110000000000000100001000000000000000000000000000001000010100000000000000000000001001001000001001000000000001000000000100000000010000000000000000000000000000000000000001000000000001000000000000100000011000000100000000000100000000010000000010000000000001000000000000000100100001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000100000000000000000000100010000000000000010000000000000000" "0.300000000000000000000000000000" "0.300000000000000000000000000000" "IC50" "0.52"
"Cyclin-dependent kinase 2" "NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3ccc(cc3)[N+](=O)[O-])cc1" "0100000000010000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000101010000000100000100000000000000000001000000010000001000000000000000000000001000000000000000000000000100000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000010100000000010000000000000000000000000000000000010000000000000000000000010101000000000000000000000000001000010010000000000000101000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000001000100001000000000100000000010000100000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000010100100000000000000000000000000110000000000000000000000000000000000000000000000001000000000000000000100000000000000000100000000000000000000000010000000000000000000000000000000100100000000000100000100100000000000000000000000000000000" "0.330000000000000000000000000000" "0.330000000000000000000000000000" "IC50" "0.52"
"Cyclin-dependent kinase 2" "Nc1ccc(cc1)c2cc(Nc3ccc(cc3)S(=O)(=O)N)[nH]n2" "0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000101000000000100000000000000000000000001000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000010000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000001000010110000000000000101000000000000000101000000010000000000001000000010000000000000000000000000001000000000100000000001000000000100000000000000000000000100100000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000110000000000000000101000000000000000001000000000001000000000000100000100000000000000000000000000000000000000100010000000000000000010000000000000100100000000000000000000000000000000010001000000000000000" "0.340000000000000000000000000000" "0.340000000000000000000000000000" "IC50" "0.56"
"Cyclin-dependent kinase 2" "CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC(C4)NC(=O)C)ncc2F" "0000000000010010100100000000000000110000000000100000000000000000000001000000000000000000100000000000000000000010000000000100000000000101010011000000000000000000000000000000000000000000000000000000000000001010000000000001000000000010000000001000000001000000000000100010000000000000000000001000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000010000000000010100000000010000000000000000000000000010100000000000000001000000000000000100000000000000000000000010000000000000001000000010000000110000110100000000000000001000000000000000000000000000101000000000011000001001000000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000101000000000000000000000000000000000010000000000000000000000000000000000000001000100000100000000000100000000000000000000000000000100000000000000000000000000000001000000000000010000001000000000100000000000001000000101000000010000000000010000100100100000000000000000001000000000000000000000000010000000" "0.500000000000000000000000000000" "0.500000000000000000000000000000" "IC50" "0.41"
"Cyclin-dependent kinase 2" "OCCOCCNS(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncsc4c23)cc1" "0000001000000000000000000100000000000000000000000000000000000000110000000010000000010000000000000000000000000000000000000000000000101101000000000101000010000000000000000001000000001000000000000000000000000000000000000000000000000000000100000000100000000000000010000000000000000000000000000000000100000000000000000000000001000100000000000000000000100000100000010000000000000000000000000000000000000001000010000000000000000110010001000000000100000000000000000000100000000000000000000000000101100001000000000101000000010000010001000101000000000000000001000001000000000010000000000100110010000000000100000000100000000000000000000100000001100000000000000000000000000100010010000000100000100000000010001000000100010000000000000000000000000000000000000000101001000000000000000000100110000000000000000000100100000000000000001000001000000000000000000100000001000000000000000000000000100000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000" "0.540000000000000000000000000000" "0.540000000000000000000000000000" "IC50" "0.41"
"Cyclin-dependent kinase 2" "CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1" "0100000000000100000000000000000000000000000000000010000000000100100000000000010000000000000000010000000000000000001000000000000010000100000000001000000010000000000000000000000000000000000000001100000000000010000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000100000001000000100000000000000000100000000000000000000000000000000000000000000000000001000000010000000000000001100000000010000000000000000000000000000000000100000000000010000001000000000000000000000000001010000000100000010000000000000000001000000000100000000000000010000000000010000000100010000010000001001000000000101100000010001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000010100000000000000000000000000000000000000010000000000101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000100000000000000100010010010010000000000001000000000000000000000000000000" "0.600000000000000000000000000000" "0.600000000000000000000000000000" "IC50" "0.48"
"Cyclin-dependent kinase 2" "COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncsc4c23)cc1" "0000001000000000000000000100000000000000000000000001000000000000100000000000000000000100000000000000000000000000000000000000000000000101000000010101000010000100000000000001000000000000000000000000000000000000000000000000000000000000000100000000100000000000000010001000000000000001000000000000000001000000000000000000000001000000000000000000000000100000100000000000000000000000000000000000000000000001000010000000000000000110000001001000000100000000000000000000000100000000000000000000000101100001000000000101000000010000010001000101000000000000000011000001001000000010001000000000010010000000001100000000000000000100000000000000000001100000000000000000000000000100000011000000101000100000000000001000000100010000000000000000000000000000000001000000001001000001000000000000100100000000010000000000100100000000000000000001001000000001000000000101000001000000000000010010000000100000001000001000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.32"
"Cyclin-dependent kinase 2" "COCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C(C)C)cc1" "0000000000010000000000000000000000010000000000000001000000000000010001000000000000000000000000000000000000000000100000000000000000101101010000000100000110000100000000010001000000001000000000000000000000001010000000000001000000001000000100001000000000000000000000000000001000000001000000000000000000000000000000100000000000000000000000000000000000100000100000010000000000000000000000000000000000100000000010000000000000000000000001010000000000000000001010000000100100010000000000000000000000000000000000000001000000010000001100000111000000000000000011000000000000000000000000000101000010000001000000000000000011011000000000000000000000000000000000000000000000000000100000000000000000000000000000001010000000000000000000000000100000000000100000000000100000000000000000000000000010000000000000000000100001000000000000001000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000010000000000010000000000000000000100100000000000000000000000000000000000000000100000000000" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.41"
"Cyclin-dependent kinase 2" "CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F" "0000001000010010000100000000000000100000000000000000000000000000010101000000000000000000100000000000000000000000100000000000000000000101010010000000000000000000000000000000001000000000000000000000100000001010000000000001000000000010100000001000000001010000000000100010000010000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010100000000010000000010000000000000000010100000000000100001000000000000000100000000000000000000000010001000000000001000000110000000100000110100000000000000001000000000000000000000000000101000000000011000000011000000100011000010000000000000000000000001000000000000000000000000000000000000000000100000000000010100000000000000000000000111010000000000000000000010000000000000000000001000000000000000000000000000001000100000000000000000110000000000000000000000000000100000000000000000000000000000001000000000000010010001000000000000000000000000000000000000000010000000000000000100100000000000000000000000000000000000000000000000010000000" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.36"
