original_index,type,canonical_smiles,ecfp,label
2040,CDK2,Nc1nc(NC2CCCCC2)cc(n1)c3cc(ccc3O)N4C[C@H](O)[C@@H](O)C4,0000000000000010000000000000000000000000000000100000000000000000100000000000000000000000100000000000000001000110000000000000001000000110000001000000000000000000010000000100010000100000010000000000000000000000010000000000000001000000000010001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000100000000000001000000000000000000000000100010000000000000000000000000000000000000000001000000000000000000000000100000101000000000000000000000000000000000110000000100001000000000000000000001000000000000000000000000000000000000000000000001000000000001001000000000000100000000001001000001000000110000000000000000000000000000000000000000000000000000000000100000000100000000000000100000000100000001000000000000000001000000000000000100000000000000000000000000000000000000000000000100000101000000000000000000000000010000000000000000100100000000010000000000000000000000000000001000010000000000000000000000000000000101000001000000000000000000000010000000000000000000001000,1
2870,CDK2,Cc1c[nH]c(C)c1c2ccnc(Nc3cccc(c3)[N+](=O)[O-])n2,0000001000010000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000001000100010000000000000000000100000000000000000000000000001000000000000000000000000000000001000000000000000000001100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000010000000000010000001000000000000000000000100001010001000000100000010000000110000001000000010000000000001000000110000000000000110000000010000000001000000000000000000000000000001000010000000000000000000000001001000000000000000000000001000000000001000000010000100000000000000000010000000000000001000000000001000000000000000000010000000100000000000100000000000000000000000000000001000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000010000000000110000000000000000000100000000000000000000100000000000000000000000000000000000,1
2850,CDK2,Oc1ccc2c(cnn2n1)c3ccnc(Nc4cccc(c4)C(F)(F)F)n3,0000000000010000000000000000010000100000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000100000000010000000000000100000000001000000000000000000000000000000000000000000001000000000000000000000000001000000000000000001000000000000000000000100000000000000000000000001011000000000000000000000000000000000000000000000000000000000000001000000010000000000000010000000010000000000000000000000000000010000000100100101110000000000100000000000000000000001000000100000000000000100000110000000100011110000000000000001001000000000000000000000000000001000010000010000000000000000001001001000001000100000000000001000000000000000000000000000000000000010000000000000000001000000000000000000000000000000011000000100000000000000000000010000000010000000000001000000100000000100000001000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000110010000000000000000000000000000100000000000000000000000000000000100000010000010000000000,1
2332,CDK2,CCNC(=O)N1CCC[C@@H](C1)Nc2ncc(Cl)c(n2)c3c[nH]c4ccccc34,0100000010000010010100000000100000100000000000000000000001000000000000000000000000000000100000011000010000000010000000000000000010000100000010100010000010010000000000000000001000000000000000000000000000000000000000001000001000000000000010000000000000000000000000000000010101000100000000001001000000000000000000000000100000100000000000000000000000000000000000000001000000110000000000100000100010000000000010000000000000000000000000000000000000000000000010000000000000010000000000100000001000000000000000100001010000010000000100000010010000000000000001010000000000000000000000000001010000001000000100000000000100001001000000000000000000010000000000000000010000000100000000000000000000000000000000000000000000000000010000000000001000000000000000000010000000000000010000000001000000000000010000000000100000000000000000000000000000000000000000000000000000010000000000000000010010000000000000000100000100010000000000000100000100000000000000000000000000010000000000000000000101000000000000000000000001000000000000000000000000010000,0
2350,CDK2,CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccccc5F)c34)C(=O)N,0000000000000010000100000000000000100000000000000100000010000000010100000000000000000000000000010000100100000010000010000000010000000100000010000000000000000100000000000000001000000000000000000000000000000000000000000000000000001000100000000000100001000000000000100000100100000100000000000000000001000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000001000000010000000010000000000000000000000000100000000000001001001000000001100000100101000000100000000100000010010000000000000001000000000000000000000000000000100000000000100000000000000000000000000000001100000000100000000000000000010000000100000000000000000000100100000000010000000000000000010000000000001000000000000000000000000000000000100000010010000000000000000000001000100000000000000000000000000000010000000000000010010000000000000000000010000000000000100000000000000010000001000000000000000000100000000000000000000000010000000000000000000100000000000000100000000000000000000000000000010000100000,0
1704,CDK2,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@H](C4)N(C)C)ncc2F,0000000000010010000100000001000000110000001000000000000000000000000001000000000000000000100000000000000000000010000000100000000000000101010010010000000010000000000000000000001000000000000000000000000000001010000000000001000000000010000000001000100001000000100000100010000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010100000000010000000000000010000000000010000000000000000001000000000000000100000000000000100000000000000000000000001000000010000000100000110110000000000000001000000000000000000000000000101100000000011000000001000000100011000000000000000000000100000000000001000001000000000000001000000000000000000000000010010100000000000000000000000101000000000000000000000000000000000000000000001000000100000100000000000000001000100000000000000000100000000000000000010000000000100000000000000010000000000001001000000000010000000001000000000000000000000000000000000000000010000000000000000100100100000000000000000000000000000000000000000000010010000,1
2204,CDK2,C1OCc2cccc(Nc3nccc(n3)c4cncc(COC\C=C\1)c4)c2,0100000000000011000000000000000000100000000000000000000001000000000000000000000000001000000000000000000000000000010000000000000000000100000000100000000000000000000000000000000000000000000000100000000000000000000100000100100100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000100000000000000000000000000000000000000001100010010000000100010000000000000000000000000000000000000000000001000000000100010000000000010000000001000000000000000000100000000100000000100000000000000000001000001000000000000000000100000000001000010000000000000000000000000001000000000000000000000000000000001000000000001000101000000000010000000000000000010001010000000000000000010000010000000001000100000000010000000000000000000000000000000001000000000010100000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000010000000000000000100000000100000001000000000000010000000000000000000000001001000100000000100000000000000001000000000000100000000010000000,1
2029,CDK2,CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC)n2,0000000000010000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000101010000000000000010000100000000010000000000000000000000000000000000001000000000000001000000000000000000001000000000000000100000000000000000000000000000000000000010000010000000000000000000000000000000000000100000000000100000000000000000000100000000000010000000100000000010000000000000000000000001000000000000000010001010000000000100000000000000000000000000000000000000000001000000010000000100000110000000000000000001000000000000000000010000000101000010000000000000000000000001001000000001000000000000100000000000000000010001000000000000000000000000000000000000001000000000000000000000000000001000000000100010000000000000000010000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000100000000000000010000001000000000010001000000001000000000000000000000000010000000000010000000000000000000100100000000000000000000001000100000000100000100000000000,1
2669,CDK2,CN1CCN(CC1)c2cccc3[nH]c(nc23)c4n[nH]c5cc(ccc45)c6ccc(CN)cc6,0100000000000010000000000000000010000000011000000000000000000000010000000000100010100010000000000000100000000010000000000000000000000100010000000100000010000000000000000010001000000000000000100000000000000000000000000000000000000000000000000000110000001100000000000000010000000000110000000100000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000001000010000000000000000010001000000000000000000000000000001000000000000000000000101000001010010001000000000100000000110000000100000000000000010000000001000000010000000000100000000000000000000000010010000000010000000010001000000001100000000000001100000000010000000100000000001000000000000100000000000000000010000100000000000000100000100000000000000000001000010000000000000000000000001000010000000100100000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000010000000000000000000000000000000000000001000010000000000010000001000000000000100000000000000000000000000000000000001000000000000000000,0
2121,CDK2,Nc1nccc(n1)n2cc(c3cocc3)c4cnccc24,0000000000000000000000000000000000001000000000000000000000000000000000000000000010100000000000000000001100001000000000100000000000000100000000000000000000100100000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000100010000000000000000000000001010000000000000010010000000000000000001000000000000000000100001000000000000000000001000010010000000000010000101000000000000000000000000000000000000000100000000100000110000000000001000000000000000000000000000000000000000000100000010000000000000000001100001000000000000000000000001000010000010000000000000000000001001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000010000000010001000000000010000000000000000000100000000010000000000000000000000000000000000000010001000000000100000000000000000100100000000000000000000000000000000001000000000000000000,1
