original_index,type,canonical_smiles,ecfp,label
2890,CDK2,CN(C)c1ccc(Nc2nccc(n2)c3sc(C)nc3C)cc1Cl,0000000000000000001000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000010000000000000000101000000010001000000000100000001000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000100000001000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000100001010000000000100000000000000000000000000000000000000000000000000110010000000000110000000000000000001010000000000000000000000000001110010000000000000000100000001001010000010000000000000000000000000000000001000000000000001000000000011000010000001001000000001000000000000000000000010000000100000000010000000000000000000000000100000000000000000000000100000000000000000000000000100000001100000100000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000010000000000010000000000000000000100000000000000000010000000000000000000000000000000000000,0
2887,CDK2,COc1cc(F)ccc1C(=O)c2cnc(NC3CCN(CC3)S(=O)(=O)C)nc2N,0011000010000010000100000000000000100000000000000000000000000000000100000100000000000000101000000000001000000000000000000000100000000100000010000100000000000000000000000000001000000000000000000000100000000000000000000000000000000000001100000000000000011001000000000000000000000000000000000000000001000000000000100000001000000000000000000000000000100000000000010001000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000001000001000000110000000100000110000100000000001011000010000000000000000000000001000100000000000000000000100000001000000000000000000000000000000000000000100000000000000000001000010000100000000000000000000010001100000000000000001000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000010000100000000000010000000000000000000000000000000000000000100000010000000000000000000101000000000000000000000000000001000000001000000000000000,1
1600,CDK2,CNC(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C4CCCC4)cc1,0000000000010010000100000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000101010000000000000000000100000000010000010000000000000000000000000000001000000000000001000000000000000010001000100000000000110000000000000000000000000000000000000010000000000000000000000000000010000000000000000100000000100000000000000000000100000000000010000000110000000010100000000000000000000000000000000000001000001010000000000100000010100000000000000000000000000000000001000000010000000100000110000000000000000001000000000000000000010000000101000010000000000000000000000001001000000000000000000000100000000000000000010000000001000000000000000000000000000000001000000000000000000000000000001000000000100010010000000000000000000000000001000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000010000001000000000010001000000001000000000000000000000000010000000000010000000000000000000100100000000000000000000000010100000000000000100000000000,1
1630,CDK2,N(c1cccc(c1)c2cocn2)c3nccc(n3)c4cnn5ncccc45,0000000000010000000000000000010000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000100000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000100010000000000000000000010000000000000000000000000000000000000100000000000000000000000000001000000100000000010000000000000000000000010000000000000000100000000000010010010100100001110000000100100000000000000000000101000000100000000000000000000110100000100001110000000000000100001000000000000100000000000000001000010100000000000000000000001001001000001001000000000000000000000100000000000000000000000000000000000000000000000001010000000000000000000000100000011000000100000000000000000000010000100010000000000001000000000000000100100001000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000001000000001100000000000000000010000000100000100000000000000000100000000000000001010000010000000000000010000000000000000,1
1645,CDK2,C[C@@H]1C[C@H]2CN1CCn3nc4c(cccc4c3O)c5nc6c(O2)cccc6nc5O,0000000000000010000000000000000000000101001000000000000001000000000000000000000000000000100000101000000000000110000000000000000000000100000000001000000001000000010100000000001100000100100100000000000000000000000000010000000000000000001000000000000000000000000100000000000001000000000000001000000000000000000001000000000100100100000010000000010000000000000000000001000000000000000000000100000000000000000010000000000000000000010000000000100000000100000100000000100000000000001000000000101000000100000000000000000001000000000100001000011000000000000001010000000010000000000000001010000000000000000000000000001000001000000000000100000000000001000000000000000000000000000010000000100100000000000000000010000000000100000001000000000000000000001000000000000000000000011000000000010000001000000100000000000000000000000000000000000000000000000000000000000000001000011001010000000000000000000100000000000000010000000000000000100000000010100000000000000000010000000000000001000110000000000010001000000000000000000000000001000000000000,1
1605,CDK2,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCCN(C)CC4)ncc2F,0000000000010010000100000000000000110000000000000000000000000000010001000000000000000000000000000000100000000000000000000000000001000101010010000000000000000000000000000000001000000000000000000000000000001010000000000001100001000010000010001000000001000000100000100010000000000000000000001000000100000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000010100000000010000000000000000000000000010000000000000000001000000000000000100000000000000100000000000001000000100001000000010000000100000110110000000000000001000000000000000000000000000101100000000011100000001000000100011000100000000000000000100000000000000000001000000000000000000000000000000100000000000010100000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000100000000000000000010000000000100000000000000010010000000000001000000000010000000001000000000000000100000000000000000000000010000000000000000100100100000000000000000000000000000000000000000000010000000,1
1611,CDK2,CC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(C#N)c(Cl)c4,1000000010000010000100000000000000000000000000000000001000000000000000000100000000000000100000000000000000000000001000000000000000000100000011000000000010000000000011000000101000000000000000000000000000000010000000000000100000100000010000000000000000000100011000000000000000001110000000000000000001000000000000000000100000000000000000000000000000100100000000000000000100000100000010000010000010000000000010000000000000010000000000000000001000000000000000000001100000000000000000000000001000000000000001000001010000110000000101000010010000000000000011000000000000000000100000000001010000000000000000000000000000011000000000010000000000000010000000100000100000000010000000000000000000000000000100000000000001000000000000000000001000000000001010000010000000000000000000000001000000000000000100000000000100000000000000000000000000000000001000000000000000000000000001001000000000000000000000000000000000010000000110000001000000000000100000000000010000010000000000010000000101001000000000001100000101000000000000000000000100000100,1
2471,CDK2,CN1CCN(Cc2cnc(Nc3ncc(s3)c4cc(C)nc(OC5CCCCC5)n4)cn2)CC1,0000000000000010000001001101000000000001000000000000000000000000010000000010000000000000100001000000100000000010000000000000000100000100000000000100000010000000000001000000001000100000000000000000000000000001010010000101000000000000100010000000000000000100100100000000000000000000000000000000000000000000010000000000000000000000000000000000000000100000000000100000000000000000000000000000000010100000000010000000000000000000100000000000000000000001000000000000100001000000100010000000000000000001000000000000000000110000000100000000000000000000000000000000000000000000000000000101000000000000000000000000000000001010011000000000000000010000000000000000000000000000000000000001000100000100000010000000010000000010000000000001000100100000100000001000000000000000010000100001101000000000000100000000000000000000000001010000000101000000000010000000000000000000000010000000000000000010000100001000000000000000000000000000000011000000000000000000001000010000000000000000000100010000000000000001000001000000100000000000000000000000,0
1587,CDK2,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1,0000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000101000000000101000000000000000000000001000000000000000000000000000000000000000000000000000000000001000100010000101000000000011000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000010100001000000000000000000000000000000000000000000000000001000000000000000101010001000100100000000000101010100010000110000000101000000000000000001000000010000000000000000000001010010000000000000000000100000000001000000000000000000000000000000000000000000000100000000000000000000100000000000010001000000000000000000000000100000000010100000000000000000000000000000000000000001000000000000000000100000000000000000000000000010000001000000000000000000000000000000000100000001000000000000000000100000000000000000000000000000100000000000000000000000001000100000010000000100100000000000000000000000000000000000000000000000000000,1
1827,CDK2,[O-][N+](=O)c1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1,0000000000100010000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000010000000000000000000000000100010000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000100100000000000000000000000000100001000000100000000010001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000010001000000001000000000010000000000000010000000000000000001000000000000000100101000000100000010000010000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000010010000100000000000000000000000000000010000000000000001000010000000000000010000000000011000000000000000000000000000000000000000000010000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000101100000000000000010000100000000000000000000000000000100000,1
