original_index,type,canonical_smiles,ecfp,label
3,CDK9,COc1ccc(F)cc1c2cc(NC(=O)Cc3ccncc3)ncn2,0001000000000000001100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000010010000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000100000000000010000100000010000000100000000000000000000000000000000000001000000000000000000000000000000100000100000010000010000000100000100001000000000000000000010000000000000000000000000000000000000100001000000000000001000100000000000000000010000000000000000000001000000110000010100000000000100000000000011000000000000000000000000000001000010000000000000000001000000000000000001000000000000100000000000000000110000000001000000000000000000000100000000000000010010001100000000000000001000000000101000000000000000000100000000000000000001000000010000000000000000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000010000100000010000000100000000000000000000000000000100000000000001000000000000,1
342,CDK9,CS(=O)(=O)N1CCC(=CC1)c2cc3c(ccnc3[nH]2)c4cccc(NCc5c(F)cccc5F)n4,0000000000000110000010000000000000100000000000000000001000000000000000000000001000000000000000000000100000000000000000000000000000000100000000000101000010000100000000000000001001001001000000000000100000000000000000000000001000100100100100000000000000000000100000100000000001000000000000000000000000001000000000000000000010000000000000001100010000000000000001000000000000000000000000000000000000000000000011000010000000000000000000000010000000010001000000000000000001100000000000000000001000000000000000000101000010011000000100000010000000000000000001000000000000000000000000000001000110001000010000000000011000001000000000000000010010100000000001000000010000000100000000000000000000000000000000000100000000000000010000000000000000000000100000000100000000000000000000000000000000001000000000000000000000000001000000000000000010000000001100000000100000000000000000001000000000000000010000000000000000000000000000000000000000000000100000010000000000010010001000000000000100010000000100000010000000100000000000000000000001000100,1
56,CDK9,CCN(C(=O)O)S(=O)(=O)N1CCC(CC1)c2cc3c(ccnc3[nH]2)c4cncc(NCc5ccccc5)n4,0000000000000111000100001000000000000000010001000100000000000100000000000000100000000000110001010000000000000000000000000000000000000100000000001100000010000001000000000000001001000000000100000000000000000001000000000000101000000001000100000000000001000000000000000000010000100000000000000000000000001000010000101000100000000000000000000000010000000000000001000000000000000000000000001000000010000000000011000010011000011000000000000001000000000001000000000000000000000000001000000000001000000000000000000111000010010000000100000010100000000000001001000000000000000000000000000001000110010000010100010000010000001000000000000100000000000000000000000000010000000100000001000000000000000010000001000000000000000000000000000000001000000000100000000000000001000000000000000001000000000010100000000000000000000000000000000000000000000000000100000010000000010000000000000000000000000100000000000000000000000010000000001000000000000000100000010000001000010000000000001000000100000000001010000000000001000100000000000001000000001000,1
304,CDK9,CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4nc(NCc5cccc(OCC(=O)O)c5)ccc4Cl,0000000000000110000100000000000000000000000000000000000000000000110001000000100000000000110001000000100000101000000000000000000000000100000000000000000010000001000000000000001001000100000100000000000000000000000001000000101000000001000000000000000000000000100100000000010000100110000000001000000000001000000100000000100000000000000000000000010000100000000000000000010000000000000000000000000000001000001011000000010000000000000000001000000000000011000000000000000000000000100000010000001000000001000000000111000010110000001100000010000000000000000001000000000000000000000000100001010010010000010100000000010000001000000000000100000000000000000000000000010000000100000000000000000000000100000000000000000000000000000000000001001000000000000000000011000000000000000010000001001000001000100000100000000100000000000000000000001000000000010000000000000000000000000000000000000001000000000110000000000000000010000010001000000000000000110000010000000001010000000000000000000100000000000000000000000000000000000000000010000000001000,1
233,CDK9,CC[C@H](Nc1nc(NCc2cccc(Cl)c2)c3ncn(C(C)C)c3n1)[C@@H](C)O,0100000000000100000000000001000000000000000000000010000000000000100000000000000000000000100000000000000000000000001000000000000000000100000000000000000010000000000000000000000000000000000000001100000100000010000000000100000000000000000000000000000000000100000000000000010000000100000000000000000000000000000000000000001001000000000000000000000100000000000000000000000000000000000000000000011000000010000010000000000000000100000000010000000000000100000000000000000000100000000000010000001000000000000000000000000001110000000100000010000000100000000001000000000100100000000000000000000000010000000100010000010000001001000000000100100000000001000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000010000010000000000000000000000000000000001000000010000000000101000000000000000000000000001000010000000000000100000000000000000000000000000000000010100100000000000000000000000000000001000000000000000000000010010000000000000000000100010010010000000000000011000000000000000000000100000000,1
51,CDK9,COc1ccc(F)cc1c2ccnc3[nH]c(cc23)C4CCCN(CCCN)C4,0001000010000010000000000000000000100000000000000000000000000000001000000000100000000001100000000000000000000010000000000000000000000101000000000000000010000001000000000000001001000000000100000000000000000000010000000000100000000001000010000001000000000000000000100000000000100000000000000000000000001000000000000001100001000001000000000000010000100001100000010000000000100000000000000000000000000000000011000000000000100000000000000001000000000001000000000001000000100000000010001000000000000000000000000101000010100000001100000010000100000000000011000000000000000000000000000001000010000000010000000000000000001000000000000000000000000000000000000000010000010100000000000000000000000000000000000000000010001100000000000000000000000100001000000001000000000100000000000001000001000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000100000010000000000010000000000001000000100000010000001000000000001000000000000000010000000001000,1
1,CDK9,COc1ccc(F)cc1c2cc(NC(=O)C3CCCNC3)ncn2,0001000000000010000100000000000000100000000000000000000000000000000000000000001000000000100000000000100000000000000000000000010010000100000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000100010000000000000000000010000000000000000000100000000000000000000000000000000000001000000000000000000000000000000100000100000010001000000000100000100000000000000000000000010000000000000000000010000000000000000100001000000000000001000100000000000000000010000000000000000000001100000110000000100000000000100001000000011000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000000100000000000000000000000100000000000000000010001100000000000000001000000000101000000000000000000100000000000001000101000000000000000000000000000000001000000000000000000000010000000011000000000000000000000100000000000001000000000000100000000000000000010000000000000000000000001000000000010000100000010000000100000000001000000000000000000001000000001000000000000000,1
18,CDK9,C(Nc1cncc(n1)c2ccnc3[nH]c(cc23)C4CCNCC4)c5ccccc5,0000000000000111000000001000000000000000000000000100000000000100000000000000100000000000100000010000000000000000000000000000000000000100000000001000000010000001000000000000000001000000000100000000000000000000000000000000101000000001100000000000000001000000000000000000010000100000000000000000000000001000010000100000100000000000000000000000010000000000000101000000000000000000000000001001001010000000000011000010001000011000000000000001000000000001000000000000000000000000001000000000001000000000000000000100000010010000000000000010000000000000000001000000000000000000000000000001000010010000010100010000010000001000000000000000000000000000000000000000010000000100000000000000000000000010000000000000000000000001000000000000000000000000100000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000100000010000001000000000000000001000000100000000001010000000000000000000000000001001000000001100,1
268,CDK9,Clc1ccc(OCc2cccnc2)nc1c3ccnc4[nH]c(cc34)C5CCCNC5,0000000000000010000000000000010000000000000000000000000000100000000000000000001010000001100000000000000000000000000100000000000000000100000000000000000010000001000000000000000001000000000100000000000010000000000001000000100000000001100010000001000000000000000000000000010100100100000000001000000000001000000100000000100000000000000000000000010000100000000000000100000100000000000000001000000010001000000011000000100000000010010000000000000000000000000000000000000000000000000100000000001000000000000000000100000010000000000000000010000000000000000001000000000000000000100000000101010010010000010000000000000100001000000000000100000000000000000000000100010000000100000000000000000000000100000000000000000000000000000010000000100000000000000000000011000000000000000000000101001100000000000000000000100100000000000000000000000000000000000000000000001000000000000100000100000000000000000000000000000000000000000100001000000000000000110000011000000000000000000000000000000100000000000000000000000000000000000000001010000000001000,1
422,CDK9,COc1ccc(cc1c2ccnc3[nH]c(cc23)C4CCCNC4)C5CC5,0001000010000010000000000000000000000000000000000000000000110000000000001000001000000000100000000000000000000000000000000000000010000101000000000000000000000001000000000000000001000000000100000000000000000000010000000000100000000001100010000001000000000000000000000000000000101000000000000000000000001000000000001000100001000000000000000000010010100000000000000000000100000000000000000000000000000000000011000000000001000000010000100000000000000000000000000001010000000000000000000000000000000000000000000100000010100000001000000010000000000000000011000000000000000000000000000001000010000000010000000000000100001000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000010001000000010000000000000000000000000000000000000000000000000000101000101000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000001000000000000000100000011000000000010000000000000000001100000000000000000000000000000000000000001010000000001000,0
312,CDK9,CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4cccc(NCCN5CCOCC5)n4,0000000010000110000010000000000000100000000000000000000000000000011000000000100000000000110000000000100000000000000000000000000000000100000000000000000010000001000000000000001011000000000100000000000000000000000000000000100000100001000000000000000000000000100000000000000000100000000000000000000001001000000001000000100000000000000000000000010000000000000001010000010000000000000010000000000000000000000011000010010000000000000000000010000000010001000000000000100001000000001000000000001000000001000000000110000010010000000100000010000000000000000001000000000000000000000000000001000010000000010001000000000000001000000000000000000010000000000000000000010000000100000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000001000100000000000000000000000000000000000000010000000000110000000000000000000000000000000000000000000000000000000100000000010000000001001000100000000100000010000000000010000000000000000000100000000000100000010000001000000000000000000000001001000,1
25,CDK9,Fc1cccc(CNc2cncc(n2)c3ccnc4[nH]c(cc34)C5=CCNCC5)c1,0000000000000111000010001000000000100000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000110000000000000000000000001001001000000000000000000100000000001000000001000000000100000000000000001000000000000000000010001100000000000000000000000001000010000000000000010000000000000000100010000000000000001100000000000000000000000001000000010000000000011000010001000010000000000000001000000000101000000000000000000100000000000000000001000000000000000010100000010110000000000000010000100010000000001000000000000000000000000000001000010010000010100000000010000001000000000000000000000100000000001000000010000000100000000000000000000000010000000000000000000100100010000000000000000000000100000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000000010110000000000000000000000000001000000000000100000010000000000000000000000000000000000000000000100000010000000000000000001000001000000100000010011000000000001000100000000010001001000000000100,1
183,CDK9,COc1ccc(F)cc1c2ccnc3[nH]c(cc23)C4=CCN(CC(=O)N(C)C)CC4,0001000010000010000110000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000101000000010000000010000000000000000000001001001001000000000000000100000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000001000010000000000000000100010000100000100000010000000000000000000000000000000000000000000011000000100000000000000000000000000000000000000000010001000000100000000010001000000000000000000000000111000010100000001100010010000100000000000011001000000000000000000000000001000010000000010000100000000000001000000000000000010000100000000001000000110000000100000001000000000000000000000000000000000010001100010000000000001000000000001000000000000000000100000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000001000000000000000000100000000000000000000000000000000000000100000010000000000010010001000001000000100000000000100000000000001000000000000000010000000000100,1
